x_left,x_right,a,b,c,d
4.480000000000000000e+02,4.520000000000000000e+02,2.600000000000000000e+02,-7.590745879252245309e-01,-2.453431332094442932e-02,6.700740075562637045e-03
4.520000000000000000e+02,4.560000000000000000e+02,2.570000000000000000e+02,-6.337135708657732902e-01,5.587456758580721522e-02,-5.611543717340970565e-03
4.560000000000000000e+02,4.600000000000000000e+02,2.550000000000000000e+02,-4.560711286116821972e-01,-1.146395702228443329e-02,1.204347938012460817e-04
4.600000000000000000e+02,4.640000000000000000e+02,2.530000000000000000e+02,-5.420019146874979210e-01,-1.001873949666948031e-02,5.129804542135986238e-03
4.640000000000000000e+02,4.680000000000000000e+02,2.510000000000000000e+02,-3.759212126383263408e-01,5.153891500896235628e-02,-5.014652962345191034e-03
4.680000000000000000e+02,4.720000000000000000e+02,2.500000000000000000e+02,-2.043132347591966880e-01,-8.636920539179932660e-03,-6.961926927552238367e-04
4.720000000000000000e+02,4.760000000000000000e+02,2.490000000000000000e+02,-3.068258483248869073e-01,-1.699123285224261870e-02,7.799423733366085514e-03
4.760000000000000000e+02,4.800000000000000000e+02,2.480000000000000000e+02,-6.838337194125580776e-02,7.660185194815040399e-02,-1.487650224070911388e-02
4.800000000000000000e+02,4.840000000000000000e+02,2.480000000000000000e+02,-1.696406639100899727e-01,-1.019161749403589556e-01,2.045658522947036220e-02
4.840000000000000000e+02,4.880000000000000000e+02,2.470000000000000000e+02,-3.053972418384287568e-03,1.435628478132853769e-01,-2.007483867717232626e-02
4.880000000000000000e+02,4.920000000000000000e+02,2.480000000000000000e+02,1.818565535836270397e-01,-9.733521631278253816e-02,1.296776947921894456e-02
4.920000000000000000e+02,4.960000000000000000e+02,2.480000000000000000e+02,2.562775808387604548e-02,5.827801743784478961e-02,-5.462392397034507860e-04
4.960000000000000000e+02,5.000000000000000000e+02,2.490000000000000000e+02,4.656324140808687506e-01,5.172314656140337974e-02,-1.078281252040514011e-02
5.000000000000000000e+02,5.040000000000000000e+02,2.510000000000000000e+02,3.618425855926490353e-01,-7.767060368345830856e-02,1.242748932132401417e-02
5.040000000000000000e+02,5.080000000000000000e+02,2.520000000000000000e+02,3.369972435485349971e-01,7.145926817242984064e-02,-7.017714476489091135e-02
5.080000000000000000e+02,5.120000000000000000e+02,2.500000000000000000e+02,-2.459831559786789690e+00,-7.706664690062610124e-01,1.901560897382396087e-01
5.120000000000000000e+02,5.160000000000000000e+02,2.400000000000000000e+02,5.023289955986232069e-01,1.511206607852614292e+00,-4.560722141880675373e-01
5.160000000000000000e+02,5.200000000000000000e+02,2.370000000000000000e+02,-9.299484422607704914e+00,-3.961659962404195934e+00,6.653827670140305406e-01
5.200000000000000000e+02,5.240000000000000000e+02,1.790000000000000000e+02,-9.054391305167811765e+00,4.022933241764169665e+00,-5.335838538680541809e-01
5.240000000000000000e+02,5.280000000000000000e+02,1.730000000000000000e+02,-2.482950356721052909e+00,-2.380073004652480062e+00,3.595776484581858501e-01
5.280000000000000000e+02,5.320000000000000000e+02,1.480000000000000000e+02,-4.263807267947973045e+00,1.934858776845749917e+00,-2.797267399646891639e-01
5.320000000000000000e+02,5.360000000000000000e+02,1.440000000000000000e+02,-2.211820571487052689e+00,-1.421862102730519606e+00,1.499543114005707223e-01
5.360000000000000000e+02,5.400000000000000000e+02,1.220000000000000000e+02,-6.388910446103816199e+00,3.775896340763288950e-01,-7.590505637593734749e-03
5.400000000000000000e+02,5.440000000000000000e+02,1.020000000000000000e+02,-3.732537644097683849e+00,2.865035664252040815e-01,-1.021728885019576594e-02
5.440000000000000000e+02,5.480000000000000000e+02,9.100000000000000000e+01,-1.930938977505448184e+00,1.638961002228548902e-01,-1.404033896162321104e-02
5.480000000000000000e+02,5.520000000000000000e+02,8.500000000000000000e+01,-1.293706445880523193e+00,-4.587967316623637985e-03,3.878644696688609683e-03
5.520000000000000000e+02,5.560000000000000000e+02,8.000000000000000000e+01,-1.144235238972459046e+00,4.195576904363967907e-02,-1.474239825131228553e-03
5.560000000000000000e+02,5.600000000000000000e+02,7.600000000000000000e+01,-8.793525982296406251e-01,2.426489114206493644e-02,2.018314603836305395e-03
5.600000000000000000e+02,5.640000000000000000e+02,7.300000000000000000e+01,-5.883543681089784538e-01,4.848466638810060292e-02,-6.599018590213993896e-03
5.640000000000000000e+02,5.680000000000000000e+02,7.100000000000000000e+01,-5.172299293344454485e-01,-3.070355669446732730e-02,8.752759757019669754e-03
5.680000000000000000e+02,5.720000000000000000e+02,6.900000000000000000e+01,-3.427259145532398077e-01,7.432956038976872015e-02,-1.278702043786469032e-02
5.720000000000000000e+02,5.760000000000000000e+02,6.800000000000000000e+01,-3.618664124525952097e-01,-7.911468486460757066e-02,1.114532199443909154e-02
5.760000000000000000e+02,5.800000000000000000e+02,6.600000000000000000e+01,-4.598084356363792979e-01,5.462917906866152779e-02,-5.442675398916728977e-04
5.800000000000000000e+02,5.840000000000000000e+02,6.500000000000000000e+01,-4.889984500188740424e-02,4.809796858996145258e-02,-8.968251834872400380e-03
5.840000000000000000e+02,5.880000000000000000e+02,6.500000000000000000e+01,-9.459218435607100184e-02,-5.952105342850735198e-02,5.167274879381274742e-03
5.880000000000000000e+02,5.920000000000000000e+02,6.400000000000000000e+01,-3.227314175738286162e-01,2.486245124067942326e-03,3.924152317347303146e-03
5.920000000000000000e+02,5.960000000000000000e+02,6.300000000000000000e+01,-1.144821453486145196e-01,4.957607293223557920e-02,-5.238884148770487324e-03
5.960000000000000000e+02,6.000000000000000000e+02,6.300000000000000000e+01,3.065999896828673632e-02,-1.329053685301026001e-02,1.406384277734644200e-03
6.000000000000000000e+02,6.040000000000000000e+02,6.300000000000000000e+01,-8.157850524532432590e-03,3.586074479805469086e-03,-3.866529621680901804e-04
6.040000000000000000e+02,6.080000000000000000e+02,6.300000000000000000e+01,1.971403129842988402e-03,-1.053761066211613730e-03,1.402275709377166573e-04
6.080000000000000000e+02,6.120000000000000000e+02,6.300000000000000000e+01,2.722380051604789825e-04,6.289697850409863749e-04,-1.742573215827765301e-04
6.120000000000000000e+02,6.160000000000000000e+02,6.300000000000000000e+01,-3.060355150484903464e-03,-1.462118073952331987e-03,5.568017153933894903e-04
6.160000000000000000e+02,6.200000000000000000e+02,6.300000000000000000e+01,1.196918259677913488e-02,5.219502510768341680e-03,-2.052949539990781350e-03
6.200000000000000000e+02,6.240000000000000000e+02,6.300000000000000000e+01,-4.481637523663162953e-02,-1.941589196912103452e-02,7.654996444569735908e-03
6.240000000000000000e+02,6.280000000000000000e+02,6.300000000000000000e+01,1.672963183497473416e-01,7.244406536571579291e-02,-1.294203623828815708e-02
6.280000000000000000e+02,6.320000000000000000e+02,6.400000000000000000e+01,1.256311018376421174e-01,-8.286036949374210592e-02,1.286314850858289414e-02
6.320000000000000000e+02,6.360000000000000000e+02,6.400000000000000000e+01,8.017927429968418895e-02,7.149741260925263076e-02,-7.260557796043419498e-03
6.360000000000000000e+02,6.400000000000000000e+02,6.500000000000000000e+01,3.036518009636210991e-01,-1.562928094326841016e-02,5.540826755907855838e-04
6.400000000000000000e+02,6.440000000000000000e+02,6.600000000000000000e+01,2.052135218458314980e-01,-8.980288836178983158e-03,5.044227093680277163e-03
6.440000000000000000e+02,6.480000000000000000e+02,6.700000000000000000e+01,3.754941116530529088e-01,5.155043628798434280e-02,-5.105991050311893369e-03
6.480000000000000000e+02,6.520000000000000000e+02,6.900000000000000000e+01,5.428100315419567279e-01,-9.721456315758382830e-03,-2.452628924327019538e-04
6.520000000000000000e+02,6.560000000000000000e+02,7.100000000000000000e+01,4.532657621791200131e-01,-1.266461102495080628e-02,6.087042620042701184e-03
6.560000000000000000e+02,6.600000000000000000e+02,7.300000000000000000e+01,6.441269197415632197e-01,6.037990041556160620e-02,-8.477907587738102782e-03
